lang,user_screen_name,text,sent
en,mrsshinde,RT @mrsshinde: @SamsungMobile @Moto @oneplus @Vivo_India @oppo @Microsoft @Apple  we must work to save safeguard humans from mobile screen…,0
en,olutobi_og,@SamsungMobile kindly include play next in the next #samsungmusic update🙂👍🏾,0
en,themobileindian,"@SamsungMobile has started rolling out the Android 10 update to its #GalaxyNote9.
https://t.co/cUIFnHSbMg",0
en,sobakhani,@SamsungMobile how to find lost Samsung note 10 plus in Pakistan,0
en,Imchetan_p,@SamsungMobile @SamsungIndia @Samsung I must say that your sales services really suck. I have been trying to reach out to your customer care via your samsung shop tollfree/email &amp; Live chat but none worked. Wasted an hour and really disappointed to place my trust in Samsung again,-1
en,themobileindian,"@SamsungMobile has confirmed that #GalaxyTabS65G will be made available in South Korea in the first quarter of this year.
https://t.co/GDfyizTHlW",0
en,Austin_TV_YT,@SamsungMobile it would be nice if there would be a IR blaster on the new Samsung lineup this 2020,0
en,david7charles,"@SamsungMobile @Google @espn when are you adding pinned live score to the lock screen?
@SamsungMobileUS",0
en,katxo96_,@SamsungMobile I hate my samsung phone such crappy camera quality I wish I had an iphone instead,-1
en,Teyd97,@SamsungMobile What will happen to that if you dont provide us updates regarding android pie? https://t.co/pMyUz90QbA,0
en,mattcain21,"@SamsungMobile the new upgrade is anything but. Phone runs slower and lags, battery drains faster, edge bar is glitchy.",-1
en,Sahilmanik123,"@SamsungMobile @Mattcabb @gemmacorrell Can I get new phones everytime with every launch in future- every new model
Free Giveaway! 😅@samsungmobile",0
en,raja12sarim,"@SamsungMobile when you will deliver A51 in pakistan?
em fed up...!
Pre order booking is taking too long.kindly give a date🙏",-1
en,ruthm4x,"@SamsungMobile I have an S10, just setting it all up with data from my S7.

I'm starting to get notifications coming through on S10 but I notice I don't get the coloured light flashing like on the S7 so I can't tell what it is without having to activate the screen. Any ideas?",0
en,Fuckinfigoh,@SamsungMobile your wireless chargers suck!!!,-1
en,christjdent,@SamsungMobile please please please make more Galaxy ACTIVE phones!  The S8 Active was the best phone I've ever had by far and boy could it take a beating.  Screen/water damage were never even a concern.  XCover FieldPro is very ugly and not a good substitute.  Plz bring back :),0
en,Jhavivek1981,"@SamsungMobile @SamsungIndia i bought Samsung A20s in Nov 2019, in 50 days my phone hang 15 times, using A20s like a nightmare. really disappointing😩😫  @Samsung",-1
en,VanBran44,"@SamsungMobile #galaxyactive2 is really disappointing: marketed as a fitness watch but has inaccurate GPS and calorie tracking, really poor fitness tracker. Can't believe I gave up my @fitbit for this!",-1
en,Sumitkumar8686,"@SamsungMobile 
Waiting for android 10 update for m30s..
Hoping in january....",0
en,FuqiJama,"@SamsungMobile not bad...to run a flagship year release and a lite year release so one year interval before the next flagship, we will be well prepared",1
en,devendra1211,"@SamsungMobile samsung mobile phone is a very worst mobile company . i am buy 2 year ago Samsung galaxy s6 edge phone price 38K but this phone is very poor performance heating problem  very hanging , and poor battery and now 1 month ago this phone mother board has been damage   . https://t.co/3LzNERyfHG",-1
en,Prem123414,@SamsungMobile @Marco_Oggian @MarylouFaure @furrylittlpeach Don't purchase any samsung mobile  wrost phone n wrost service peovide by center,-1
en,Prem123414,@SamsungMobile Don't purchase any samsung mobile  wrost phone n wrost service peovide by center @Samsung @SamsungMobileUS @SamsungIndia @ConsumerReports,-1
en,Prem123414,@SamsungMobile @Mattcabb @gemmacorrell Don't purchase any samsung mobile  wrost phone n wrost service peovide by center,-1
en,Prem123414,@SamsungMobile  @Samsung @SamsungIndia wrost phone and wrost service by samsung mobile in india,-1
en,imthegrenade,@SamsungMobile sponsor me thanks,0
en,McIrish1980,"@SamsungMobile very disappointed with the customer service received,  been a loyal customer for year ,both personal and business and been let down over £160 fault with a pcb board in a watch",-1
en,ajayay2,"@SamsungMobile I m using galaxy m30 in india , recently i got android 10 and one ui 2.0 update after update my phone the Camera app completely disappointed me , the camera opening time is very very larger , when i change Camera modes  ( Photo to video , Rear to front) takes 15sec",-1
en,saleemk07670797,@SamsungMobile S11 Launch date,0
en,ColeJacox,@SamsungMobile I love my Note 10+ and I just downloaded the Android 10 update and my only complaint is the parallax effect is gone. :(,1
en,ciro290,"@SamsungMobile Hi Samsung, 
Your biggest company in the world, and I respect your product, but why the Samsung S8 / note 8 mobile not supporting the new android 10 ?",-1
en,Ashwanikorpal,RT @RohitKorpal: @SamsungMobile and its agents have harassed me for 3 months. I have complained about my phone being dead for 3 months. I h…,-1
en,mohitmittalgpi,"@SamsungMobile  worst phone quality, second time sufferer. M30. Bought in October, not working in December",-1
en,MWN_BEN,@SamsungMobile good opportunity to sponsor the kid !!!! https://t.co/j058yNzRz4,0
en,cfe84,"@SamsungMobile I don't want your bixby on my s9. But you making it impossible to disable it. I've been bothered by some random ""bixby voice activation"" notification all day long, which I guessed was a bug.",-1
en,xiyuzhicheng,"@SamsungMobile After updating the Android 10 system, the color deviation sometimes appears in the upper left corner of the screen, and the position of the display deviation is sometimes large https://t.co/l4TPVk7vfo",-1
en,ataif68536189,"@SamsungMobile https://t.co/4iNDbHWds6
I will design ui or ux , wireframe and prototype for mobile, web https://t.co/7WsvSL4j62",0
en,Bill69596159,@SamsungMobile support the Galaxy S8!!,0
en,LargeUglyGuy,"@SamsungMobile Can you good people suggest a desktop software mobile phone app combination that would permit me to easily sync the contacts, calendar events, tasks and notes/memos in my Outlook with those in my Note 10+? Does Kies do any of this?",0
en,KishanKshatriya,@SamsungMobile As company is not helping at the same time. Company need to replace my phone it's there fault not mine.. then also they not giving satisfying answer as per them this is electric device anything can happens they don't care....,-1
en,KishanKshatriya,@SamsungMobile Don't purchase this phone as they can't give you proper service after purchasing it.. I purchased it and afterwards I get to know there is company default problem in phone there is space between mobile screen and body from there dust particles are going in...,-1
en,BDGMILL,@SamsungMobile a concept: you create a doo hickey to detect BAC &amp; make phones unable to send dumb ass drunk messages. Plz. For my sake.,0
en,surendran7600,@SamsungMobile clicked on my Samsung galaxy Note 10+ https://t.co/Q11vbREFjt,0
en,ixj971,"@SamsungMobile @Mattcabb @gemmacorrell How about tagging Note 8 with Dark Mode? I want to tag along with this mode, Samsung ☹.",0
en,Quarm73,@SamsungMobile This update has gotten my phones screen messed up... have to take it to the service centre twice in just a week... keeps freezing,-1
en,BigLou714,"@SamsungMobile 
When will the Samsung Galaxy Xcover Field Pro,  be available in the US ?",0
en,davinhuynh,"@SamsungMobile @Android 

Someone tell me how to fix this problem? I barely can read the notifications that is in yellow. https://t.co/GTGDlJlCrl",-1
en,514Eddie,@SamsungMobile @SamsungMobileUS I cant stress enough how  much I HATE this Fucking update now give me a link to CHANGE IT BACK NOW NO EXCUSES,-1
en,monewt0,@SamsungMobile my active2 watch isn't detecting my workouts even though I have automatic detection on! Any ideas what the problem could be and how to fix it?,-1
en,Tony_KGB,@SamsungMobile got a note 10+ my gmail will not auto sync. If i open the gmail app it will then pull them what i the deal? Ive tried every suggestion ive found from others. Is samsung looking for a fix for this?,-1
en,jeffclements32,@SamsungMobile  can you help my friend? https://t.co/ofiO9U7rdY,0
en,johnsonroda127,@SamsungMobile @oneplus can you guys make a flagship that doesnt have a stupid curved display. That fad needs to end. Its insanely pointless and offers nothing. Just makes phones more vunerable to damage and impossible to use without a case,-1
en,AmirHas94290452,@SamsungMobile  sd card stop working brought 2-3 months back,-1
en,No0va_BHamade,@SamsungMobile @TMobile @TMobileHelp after Android 10 update the ram usage increased significantly from 6 - 7 GB free to 1 - 2 GB free out of 12 GB!!!! Fix it... https://t.co/LyMbOEm4oM,-1
en,Sarah_N_Dipitee,@SamsungMobile can you make a #swype update that I swipe to the space bar between words and finish sentence fragments?,0
en,ViGiGu,@SamsungMobile #SamsungGalaxyNote10Plus awesome device with an awesome display,1
en,private_world77,@SamsungMobile  will you please work on the remove options on group message.,0
en,philwongnz,@SamsungMobile hi there I just received my Note 10+ and I used it for 2 days but now I just found out is £100 cheaper. Is there any way I can get the price difference rather than returning a phone and ordering a new one?,0
en,apoorv0101,"@SamsungMobile @SamsungIndia @Samsung : I switched from apple to samsung, bought s10+ in may19, now realized it's my biggest mistake. S10+ sucks, it has become slower than snail. Total wastage of my hard earned money. Return me my money so that I can buy an apple. Ph: 8800570988",-1
en,Indsamachar,@SamsungMobile Galaxy Fold 2 to new iPad Pro: Here are the top gadgets to look forward in 2020 - https://t.co/xgIlEYNKAP,0
en,Zach21568030,"@SamsungMobile Cheeky idea for a feature, chuck the most used app in the top right corner of the lock screen so we can swipe down from there and unlock our phone to our most used app?",0
